network_path,image_id,original_label,tmp_path,epsilon_value,smallest_sat_value,total_time,split,training
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,53,28, image_53,0,0.0273,191.582644,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,56,25, image_56,0,0.0078,108.891042,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,58,5, image_58,0,0.0039,90.15616274,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,57,6, image_57,0,0.0273,184.2049036,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,55,38, image_55,0,0.039,250.6481006,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,60,36, image_60,0,0.0195,152.9733129,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,59,15, image_59,0,0.0312,212.5621934,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,61,10, image_61,0,0.0234,166.9227719,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,64,23, image_64,0,0.0039,90.19202876,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,65,25, image_65,0,0.0156,148.6518474,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,62,13, image_62,0,0.0429,257.0241911,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,63,17, image_63,0,0.0468,274.5674188,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,67,7, image_67,0,0.0195,155.3441815,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,66,25, image_66,0,0.039,246.3037257,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,69,8, image_69,0,0.0195,146.3379116,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,68,12, image_68,0,0.0273,192.1699097,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,70,10, image_70,0,0.0195,151.0520577,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,74,9, image_74,0,0.0234,162.445024,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,71,1, image_71,0,0.0429,268.6380651,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,77,40, image_77,0,0.0195,154.128561,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,76,4, image_76,0,0.0312,211.8353105,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,73,34, image_73,0,0.0546,311.4806416,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,81,2, image_81,0,0.0039,92.42933035,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,79,3, image_79,0,0.0312,210.0145466,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,78,12, image_78,0,0.0351,223.5135868,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,80,7, image_80,0,0.039,248.159179,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,82,13, image_82,0,0.0585,331.1514764,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,85,9, image_85,0,0.0312,203.5255933,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,84,14, image_84,0,0.039,250.2406008,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,83,7, image_83,0,0.0507,295.5735955,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,86,9, image_86,0,0.0351,233.62379,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,87,7, image_87,0,0.0117,121.3627172,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,88,42, image_88,0,0.0195,147.4526279,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,92,26, image_92,0,0.0039,91.12239027,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,91,4, image_91,0,0.0273,192.7074845,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,89,18, image_89,0,0.0468,282.706068,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,90,38, image_90,0,0.0546,311.5111332,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,93,39, image_93,0,0.0351,224.1397769,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,94,3, image_94,0,0.0273,189.0350139,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,97,35, image_97,0,0.0156,145.6091919,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,95,1, image_95,0,0.039,248.3644025,test,fgsm
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,0,2, image_0,0,0,73.31820107,test,pgd
