,epsilon_value,result,time,network,image,split
5,0.0,UNSAT,9.712066411972046,gtsrb_7_1024_standard,image_68,test
6,0.0039,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_68,test
0,0.1989,SAT,6.895723104476929,gtsrb_7_1024_standard,image_49,test
1,0.0974999999999999,SAT,9.018923282623293,gtsrb_7_1024_standard,image_49,test
2,0.0467999999999999,SAT,8.39055323600769,gtsrb_7_1024_standard,image_49,test
3,0.0195,SAT,7.726353168487549,gtsrb_7_1024_standard,image_49,test
4,0.0078,SAT,7.456382989883423,gtsrb_7_1024_standard,image_49,test
5,0.0,UNSAT,9.131978750228882,gtsrb_7_1024_standard,image_49,test
6,0.0039,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_49,test
0,0.1989,SAT,7.791940689086914,gtsrb_7_1024_standard,image_34,test
1,0.0974999999999999,SAT,7.743671894073486,gtsrb_7_1024_standard,image_34,test
2,0.0467999999999999,SAT,7.701740980148315,gtsrb_7_1024_standard,image_34,test
3,0.0195,SAT,8.307409763336182,gtsrb_7_1024_standard,image_34,test
4,0.0078,SAT,8.338242769241333,gtsrb_7_1024_standard,image_34,test
5,0.0,UNSAT,9.836130142211914,gtsrb_7_1024_standard,image_34,test
6,0.0039,SAT,8.270826816558838,gtsrb_7_1024_standard,image_34,test
0,0.1989,SAT,7.535659551620483,gtsrb_7_1024_standard,image_43,test
1,0.0974999999999999,SAT,7.574255228042602,gtsrb_7_1024_standard,image_43,test
2,0.0467999999999999,SAT,7.4469475746154785,gtsrb_7_1024_standard,image_43,test
3,0.0195,SAT,7.3525471687316895,gtsrb_7_1024_standard,image_43,test
4,0.0078,SAT,7.423713684082031,gtsrb_7_1024_standard,image_43,test
5,0.0,UNSAT,9.090842962265016,gtsrb_7_1024_standard,image_43,test
6,0.0039,SAT,7.777857542037964,gtsrb_7_1024_standard,image_43,test
0,0.1989,SAT,7.776099920272827,gtsrb_7_1024_standard,image_0,test
1,0.0974999999999999,SAT,8.307164907455444,gtsrb_7_1024_standard,image_0,test
2,0.0467999999999999,SAT,8.276328563690186,gtsrb_7_1024_standard,image_0,test
3,0.0195,SAT,8.215180397033691,gtsrb_7_1024_standard,image_0,test
4,0.0078,UNSAT,512.9572467803955,gtsrb_7_1024_standard,image_0,test
5,0.0116999999999999,SAT,8.406551361083984,gtsrb_7_1024_standard,image_0,test
